x,max,upper,mid,lower,min
1,1.071038251,0.918032787,0.808743169,0.546448087,0.43715847
2,1.31147541,1.158469945,0.93989071,0.721311475,0.459016393
3,3.606557377,2.579234973,2.098360656,1.245901639,0.743169399
